Project,Fork,Star,ISSUE ID,STATUS,Severity,Create Time,Fix Time,Commit ID,Description,Discuss Information,Classification,Severity_Level
BrowserGym,168,1197,389,open,,2026-04-20T17:10:31Z,,,"## Summary Closes #344.  The `scroll` action dispatched a page-level wheel event at the current mouse position, so scrolling a focused listbox or an overflow-scroll div moved the outer page instead of the element. `scroll_at` was a coordinate-based workaround; this PR adds the bid-based variant so agents can target an element directly, mirroring the other bid-taking actions (`click`, `fill`, `focus`, ...).  ```python scroll(0, 200)                 # unchanged: scrolls the page scroll(0, 200, bid='a17')      # new: scrolls inside that element ```  ## Design notes - **Backward compatible.** `bid` is an optional keyword-only-in-practice parameter (keeps existing `scroll(dx, dy)` calls in webarena / miniwob / workarena subsets working). Happy to switch to `scroll(bid, dx, dy)` if maintainers prefer, but that is a breaking change across every action subset. - **Uses `Element.scrollBy`, not a synthetic `WheelEvent`.** Untrusted wheel events do not trigger native scrolling, and a bubbling synthetic event would let page-level handlers cancel a scroll that was meant for the sub-element. The trade-off - sites that implement custom scrolling inside `wheel` listeners (virtualized lists, some carousels) are not exercised by this path - is called out in the docstring. - **`scroll_into_view=False`** in the bid path: the whole point is to not move the outer page, even in demo mode.  ## Test plan All three new tests pass locally against Chromium:  - [x] `tests/core/test_actions_highlevel.py::test_scroll_in_sub_element` - listbox and scrollable div scroll via `scroll(bid=...)` while `window.scrollY` stays `0`; the plain `scroll(dx, dy)` still scrolls the page. - [x] `tests/core/test_actions_highlevel.py::test_scroll_without_bid_ignores_focused_listbox` - regression test pinning down the symptom that motivated the API change: focusing a listbox does not make `scroll(dx, dy)` (no bid) scroll that listbox. - [x] `tests/miniwob/test_click-scroll-list.py::test_scroll_with_bid_scrolls_listbox` - integration test against `miniwob.click-scroll-list` (the task #344 references). Proves the bid path actually moves `<select size=N>.scrollTop`, while the no-bid path does not.  Pre-existing failures on `main` (`test_cheat[0-4]`, `test_goto`, `test_mouse_down_up`, `test_scroll`) are unrelated and reproduce without this PR.  ## Files - `browsergym/core/src/browsergym/core/action/functions.py` - `scroll(delta_x, delta_y, bid=None)` - `docs/src/core/action_space.rst` - doc entry updated - `tests/core/data/scroll_list.html` - new fixture - `tests/core/test_actions_highlevel.py` - two new tests - `tests/miniwob/test_click-scroll-list.py` - miniwob integration test",,E(regression),Low
BrowserGym,168,1197,378,closed,,2025-12-15T22:36:35Z,2025-12-16T16:16:23Z,PR Merged,- Better python env caching using uv. - Remove sigstore (not needed as we are using secure publishing in pypi),,A(secure),Medium
BrowserGym,168,1197,345,open,enhancement,2025-05-27T23:53:31Z,,,"ToDo:  - [ ] Update ReadMe - [ ] Add tests similar to VisualWebArena - [ ] Refactor similar to VisualWebArena (remove any duplication)  <!-- Korbit AI PR Description Start --> ## Description by Korbit AI  ### What change is being made?  Add the SafeArena Benchmark to the BrowserGym project by introducing configurations, tasks, metadata, and scripts related to ""safearena"", updating the `Makefile` to include `safearena`, and managing dependencies in the `pyproject.toml` and `requirements.txt` files.  ### Why are these changes being made?  This integration allows the BrowserGym project to support and benchmark web agents on safety-focused tasks, thereby enhancing the scope of the platform in testing agent capability against safely navigating web environments. This addition caters to the ongoing research in ensuring AI agents operate safely in applications involving internet navigation.  > Is this description stale? Ask me to generate a new description by commenting `/korbit-generate-pr-description` <!-- Korbit AI PR Description End -->",,A(safety),Medium
BrowserGym,168,1197,339,closed,,2025-04-23T18:14:08Z,2025-04-23T18:20:07Z,PR Merged,"<!-- Korbit AI PR Description Start --> ## Description by Korbit AI  ### What change is being made? Add DoomArena to the browsergym ecosystem section in the README.  ### Why are these changes being made? This change is made to recognize and incorporate DoomArena as a resource for AI agent security testing with Browsergym environments, broadening the scope and utility of the ecosystem offerings. By adding DoomArena, users are informed about a new tool that supports injecting attacks into web pages, which can enhance testing capabilities.  > Is this description stale? Ask me to generate a new description by commenting `/korbit-generate-pr-description` <!-- Korbit AI PR Description End -->",,A(security),Medium
BrowserGym,168,1197,326,open,,2025-03-04T13:01:20Z,,,"For Python 3.13 https://github.com/python-greenlet/greenlet/issues/392#issuecomment-2446961814  <!-- Korbit AI PR Description Start --> ## Description by Korbit AI  ### What change is being made? Update the `playwright` package version from `1.39` to `1.50` in the `requirements.txt` file.  ### Why are these changes being made? The update ensures compatibility with the latest features, bug fixes, and performance improvements provided in the newer version of `playwright`. This change also maintains the project's dependencies up to date, which is crucial for leveraging enhancements and security patches introduced since the previous version.  > Is this description stale? Ask me to generate a new description by commenting `/korbit-generate-pr-description` <!-- Korbit AI PR Description End -->",,A(security),Medium
BrowserGym,168,1197,304,open,,2025-01-14T13:33:05Z,,,"Why call the evaluator at every step? In the official implementation, it only evaluates at the final step.  https://github.com/ServiceNow/BrowserGym/blob/ec6b802cd655f2c6a84ebd66a22a4435d8147272/browsergym/webarena/src/browsergym/webarena/task.py#L185C9-L185C11  https://github.com/web-arena-x/webarena/blob/df352854eef255b007110948f6d4f539af039717/run.py#L330","Browsergym was originally designed without a stop action, which is why we call the evaluator at every step to detect if the task is done or not, from the environment side. It could be nice to have this (optional) stop action so that agents can run faster on webarena. | > Browsergym was originally designed without a stop action, which is why we call the evaluator at every step to detect if the task is done or not, from the environment side. It could be nice to have this (optional) stop action so that agents can run faster on webarena.   I fully understand the idea of separating the environment implementation from specific task logic. However, there are two potential issues with this approach:    1. Evaluating at every step might lead to the model stopping prematurely, such as when it simply lands on the answer page, which could inadvertently leak labels.     2. Some evaluations in WebArena involve navigating away from the current page, which could result in losing unfinished operations on that page. The current implementation of page preservation in WebArena is ineffective (and I suspect it might be ineffective for most environments, as pages cannot be easily copied).    A possible solution would be to modify the evaluation implementation in the WebArena environment, ensuring that the actual evaluator is only invoked after the termination conditions are met. | We agree with this, in recent future we will provide variants where the agent is responsible for stopping.",C(leak),High
BrowserGym,168,1197,303,closed,,2025-01-11T06:47:13Z,2025-02-15T18:39:42Z,PR Merged,"# Pull Request Description - #298  ## Summary of Changes: - Added the `download_file` function to handle file downloads by clicking a specified element (`bid`). - Ensures the download directory exists, monitors progress, and saves the file upon completion.    ## Reason for Changes: - Automates the download process with real-time progress updates and saves the file to a specified directory.  ### Example: - Starting Download: ```Starting download...```  - During Download: ``` Downloading... Elapsed time: 1 seconds Downloading... Elapsed time: 2 seconds ```  - On Completion: ```Download completed: downloads/my_report.pdf```  ## How to Test: 1. Call `download_file` with a valid `bid` and optional `download_path`. 2. Verify the download starts and the file is saved correctly. ","I'm still learning and apologize for any mistakes. I'm open to corrections and feedback. Thank you for your understanding!  | @recursix can you have a look as well? This action can potentially overwrite files on the filesystem, do you think we should do something about it? We discussed that with @ThibaultLSDC a while ago, ideally we could provide a safe directory for all file_upload and file_download operations, which would be enforced to prevent the agent reading / writing stuff anywhere on the file system. | > I'm still learning and apologize for any mistakes. I'm open to corrections and feedback. Thank you for your understanding!  No worries at all, we are all making mistakes and still learning :) | > > I'm still learning and apologize for any mistakes. I'm open to corrections and feedback. Thank you for your understanding! >  > No worries at all, we are all making mistakes and still learning :)  Thanks you,  I also think we should have a dedicated directory for this action.  | hey @recursix any updates on the dir of file_download options or should i just fix the failing CIs ",C(overwrite),High
BrowserGym,168,1197,18,closed,bug,2024-05-15T20:20:46Z,2024-05-15T20:43:35Z,,"On some websites the bid marking system results in duplicate bids ![Screenshot 2024-05-15 at 4 14 54 PM](https://github.com/ServiceNow/BrowserGym/assets/1726818/88e91683-1e38-4908-9963-399026ea9a0b)  This in turn results in Playwright errors for bid-based actions ```python Error: strict mode violation: get_by_test_id(\""188\"") resolved to 2 elements ```",,A(violation),Medium
